training_date,distance,duration,pace,kind,shoe_id,memo
2025-01-01,5,1800,6:00,0,2,2025サンプル走
2025-01-03,12,4320,6:00,0,2,2025サンプル走
2025-01-05,7.5,2700,6:00,0,2,2025サンプル走
2025-01-09,18,6480,6:00,0,2,2025サンプル走
2025-01-12,6,2160,6:00,0,2,2025サンプル走
2025-01-15,20,7200,6:00,0,2,2025サンプル走
2025-01-17,9,3240,6:00,0,2,2025サンプル走
2025-01-19,15,5400,6:00,0,2,2025サンプル走
2025-01-23,8,2880,6:00,0,2,2025サンプル走
2025-01-26,16.5,5940,6:00,0,2,2025サンプル走
2025-01-29,10,3600,6:00,0,2,2025サンプル走
2025-01-31,19,6840,6:00,0,2,2025サンプル走
2025-02-02,11,3960,6:00,0,2,2025サンプル走
2025-02-06,14,5040,6:00,0,2,2025サンプル走
2025-02-09,13,4680,6:00,0,2,2025サンプル走
2025-02-12,17,6120,6:00,0,2,2025サンプル走
2025-02-14,5,1800,6:00,0,2,2025サンプル走
2025-02-16,12,4320,6:00,0,2,2025サンプル走
2025-02-20,7.5,2700,6:00,0,2,2025サンプル走
2025-02-23,18,6480,6:00,0,2,2025サンプル走
2025-02-26,6,2160,6:00,0,2,2025サンプル走
2025-02-28,20,7200,6:00,0,2,2025サンプル走
2025-03-02,9,3240,6:00,0,2,2025サンプル走
2025-03-06,15,5400,6:00,0,2,2025サンプル走
2025-03-09,8,2880,6:00,0,2,2025サンプル走
2025-03-12,16.5,5940,6:00,0,2,2025サンプル走
2025-03-14,10,3600,6:00,0,2,2025サンプル走
2025-03-16,19,6840,6:00,0,2,2025サンプル走
2025-03-20,11,3960,6:00,0,2,2025サンプル走
2025-03-23,14,5040,6:00,0,2,2025サンプル走
2025-03-26,13,4680,6:00,0,2,2025サンプル走
2025-03-28,17,6120,6:00,0,2,2025サンプル走
2025-03-30,5,1800,6:00,0,2,2025サンプル走
2025-04-03,12,4320,6:00,0,2,2025サンプル走
2025-04-06,7.5,2700,6:00,0,2,2025サンプル走
2025-04-09,18,6480,6:00,0,2,2025サンプル走
2025-04-11,6,2160,6:00,0,2,2025サンプル走
2025-04-13,20,7200,6:00,0,2,2025サンプル走
2025-04-17,9,3240,6:00,0,2,2025サンプル走
2025-04-20,15,5400,6:00,0,2,2025サンプル走
2025-04-23,8,2880,6:00,0,2,2025サンプル走
2025-04-25,16.5,5940,6:00,0,2,2025サンプル走
2025-04-27,10,3600,6:00,0,2,2025サンプル走
2025-05-01,19,6840,6:00,0,2,2025サンプル走
2025-05-04,11,3960,6:00,0,2,2025サンプル走
2025-05-07,14,5040,6:00,0,2,2025サンプル走
